gX,gY,gZ
-178,-43,92
-178,-43,92
-178,-43,92
-178,-43,92
-178,-43,92
-178,-43,92
-168,-54,109
-168,-54,109
-168,-54,109
-168,-54,109
-168,-54,109
-168,-54,109
-168,-54,109
-147,-68,113
-147,-68,113
-147,-68,113
-147,-68,113
-147,-68,113
-147,-68,113
-147,-68,113
-147,-68,108
-121,-88,108
-121,-88,108
-121,-88,108
-121,-88,108
-121,-88,108
-121,-88,108
-121,-88,108
-94,-113,105
-94,-113,105
-94,-113,105
-94,-113,105
-94,-113,105
-94,-113,105
-94,-113,105
-71,-132,103
-71,-132,103
-71,-132,103
-71,-132,103
-71,-132,103
-71,-132,103
-71,-132,103
-71,-132,99
-49,-139,99
-49,-139,99
-49,-139,99
-49,-139,99
-49,-139,99
-49,-139,99
-49,-139,99
-17,-139,99
-20,-139,99
-20,-139,99
-20,-139,99
-20,-139,99
-20,-139,99
-20,-139,99
-20,-139,99
17,-136,105
17,-136,105
17,-136,105
17,-136,105
17,-136,105
17,-136,105
17,-136,105
17,-136,105
60,-133,110
60,-133,110
60,-133,110
60,-133,110
60,-133,110
60,-133,110
60,-133,110
60,-133,110
103,-132,113
103,-132,113
103,-132,113
103,-132,113
103,-132,113
103,-132,113
103,-132,113
139,-135,109
139,-135,109
139,-135,109
139,-135,109
139,-135,109
139,-135,109
139,-135,109
139,-135,95
163,-140,97
163,-140,97
163,-140,97
163,-140,97
163,-140,97
163,-140,97
163,-140,97
163,-140,83
177,-149,83
177,-149,83
177,-149,83
177,-149,83
177,-149,83
177,-149,83
177,-149,83
186,-159,69
186,-159,69
186,-159,69
186,-159,69
186,-159,69
186,-159,69
186,-159,69
186,-159,69
195,-164,56
195,-164,56
195,-164,56
195,-164,56
195,-164,56
195,-164,56
195,-164,56
195,-164,56
205,-157,47
205,-157,47
205,-157,47
205,-157,47
205,-157,47
205,-157,47
205,-157,47
205,-157,47
215,-143,44
215,-143,44
215,-143,44
215,-143,44
215,-143,44
215,-143,44
215,-143,44
215,-143,44
227,-124,41
227,-124,41
227,-124,41
227,-124,41
227,-124,41
227,-124,41
227,-124,41
227,-102,33
245,-100,33
245,-100,33
245,-100,33
245,-100,33
245,-100,33
245,-100,33
245,-100,33
268,-75,26
268,-75,26
268,-75,26
268,-75,26
268,-75,26
268,-75,26
268,-75,26
268,-75,26
268,-75,9
287,-61,9
287,-61,9
287,-61,9
287,-61,9
287,-61,9
287,-61,9
287,-61,9
287,-61,9
287,-61,-13
291,-47,-13
291,-47,-13
291,-47,-13
291,-47,-13
291,-47,-13
291,-47,-13
291,-47,-13
281,-39,-37
281,-39,-37
281,-39,-37
281,-39,-37
281,-39,-37
281,-39,-37
281,-39,-37
281,-39,-37
252,-42,-51
252,-42,-51
252,-42,-51
252,-42,-51
252,-42,-51
252,-42,-51
252,-42,-51
252,-42,-51
213,-41,-49
213,-41,-49
213,-41,-49
213,-41,-49
213,-41,-49
213,-41,-49
213,-41,-49
213,-41,-49
181,-36,-37
181,-36,-37
181,-36,-37
181,-36,-37
181,-36,-37
181,-36,-37
181,-36,-37
181,-36,-37
165,-37,-36
165,-37,-36
165,-37,-36
165,-37,-36
165,-37,-36
165,-37,-36
165,-37,-36
165,-37,-55
161,-35,-55
161,-35,-55
161,-35,-55
161,-35,-55
161,-35,-55
161,-35,-55
161,-35,-55
178,-30,-92
178,-30,-92
178,-30,-92
178,-30,-92
178,-30,-92
178,-30,-92
178,-30,-92
178,-30,-92
228,-16,-122
228,-16,-122
228,-16,-122
228,-16,-122
228,-16,-122
228,-16,-122
228,-16,-122
228,-16,-152
247,0,-152
247,0,-152
247,0,-152
247,0,-152
247,0,-152
247,0,-152
247,0,-152
247,0,-152
226,27,-172
226,27,-172
226,27,-172
226,27,-172
226,27,-172
226,27,-172
226,27,-172
226,27,-163
189,46,-163
189,46,-163
189,46,-163
189,46,-163
189,46,-163
189,46,-163
189,46,-163
189,41,-129
141,41,-129
141,41,-129
141,41,-129
141,41,-129
141,41,-129
141,41,-129
141,41,-129
85,23,-95
85,23,-95
85,23,-95
85,23,-95
85,23,-95
85,23,-95
85,23,-95
85,23,-95
85,23,-95
35,9,-80
35,9,-80
35,9,-80
35,9,-80
35,9,-80
35,9,-80
35,9,-80
35,9,-80
35,9,-80
35,9,-80
6,-1,-89
6,-1,-89
6,-1,-89
6,-1,-89
6,-1,-89
6,-1,-89
6,-1,-89
6,-1,-89
6,-1,-89
6,-5,-111
-3,-7,-111
-3,-7,-111
-3,-7,-111
-3,-7,-111
-3,-7,-111
-3,-7,-111
-3,-7,-111
-3,-7,-111
-1,-3,-133
-1,-3,-133
-1,-3,-133
-1,-3,-133
-1,-3,-133
-1,-3,-133
-1,-3,-133
-1,-3,-133
8,8,-150
8,8,-150
8,8,-150
8,8,-150
8,8,-150
8,8,-150
8,8,-150
8,8,-150
8,8,-150
8,8,-150
21,21,-161
21,21,-161
21,21,-161
21,21,-161
21,21,-161
21,21,-161
21,21,-161
21,21,-161
26,37,-166
26,37,-166
26,37,-166
26,37,-166
26,37,-166
26,37,-166
26,37,-166
26,37,-166
26,37,-166
19,47,-169
19,47,-169
19,47,-169
19,47,-169
19,47,-169
19,47,-169
19,47,-169
19,47,-169
0,42,-168
0,42,-168
0,42,-168
0,42,-168
0,42,-168
0,42,-168
0,42,-168
0,42,-168
0,42,-168
-21,28,-158
