gX,gY,gZ
"
-12",-10,9
"
2",-7,8
"
37",-44,-11
"
-2",15,4
"
-132",-1,4
"
-274",-26,13
"
-231",-24,-29
"
-8",-18,13
"
96",8,8
"
165",12,13
"
200",16,-1
"
142",11,-6
"
72",-1,-9
"
30",-10,-1
"
17",5,0
"
-77",-11,3
"
-248",-24,0
"
-302",-37,-18
"
-177",-18,13
"
102",20,22
"
204",10,18
"
216",20,13
"
172",16,1
"
115",-2,-5
"
20",-25,6
"
38",-12,-1
"
-19",53,14
"
-146",-4,4
"
-335",-32,8
"
-256",-5,6
"
79",17,21
"
160",12,6
"
225",22,-2
"
210",0,-14
"
121",-24,-1
"
42",-21,1
"
-19",37,15
"
-169",-25,5
"
-261",-23,6
"
-225",-2,-2
"
-61",-1,13
"
115",-10,7
"
181",15,5
"
191",5,-10
"
171",10,-7
"
81",-5,-13
"
-18",-7,9
"
-65",-21,-13
"
-187",-9,-2
"
-217",2,-12
"
-30",-16,17
"
95",3,15
"
136",13,14
"
125",-11,-9
"
88",-3,-10
"
71",7,-1
"
36",-1,-3
"
-28",-6,2
"
-155",-19,7
"
-260",-24,-24
"
-260",0,1
"
-98",1,0
"
147",14,24
"
172",14,25
"
194",-4,-11
"
146",18,-7
"
105",19,-4
"
65",-8,-2
"
-16",22,2
"
-123",-35,19
"
-234",-18,2
"
-281",-17,-43
"
-132",0,8
"
153",7,26
"
155",7,24
"
143",15,16
"
101",15,-1
"
61",5,-16
"
19",58,4
"
-199",-10,4
"
-311",-31,7
"
-177",-17,-8
"
76",13,12
"
121",18,17
"
154",7,9
"
151",3,-4
"
66",-11,6
"
36",-88,-30
"
-26",-9,0
"
-160",3,5
"
-304",-36,-10
"
-144",-49,6
"
104",3,12
"
211",35,17
"
223",18,-4
"
154",12,-17
"
100",21,-4
"
42",-53,-16
"
-29",17,-5
"
-172",1,-7
"
-270",-12,-7
"
-212",-9,14
"
91",6,13
"
140",4,5
"
182",8,0
"
101",6,-1
"
113",5,-26
"
92",12,2
"
17",-7,-2
"
-58",3,5
"
-253",-22,-31
"
-317",-12,16
"
-97",-12,12
"
119",4,22
"
168",19,21
"
148",0,4
"
119",8,0
"
67",14,-7
"
58",8,2
"
-24",37,5
"
-160",2,3
"
-314",-55,-12
"
-290",-17,-11
"
14",-7,14
"
109",18,18
"
184",16,12
"
254",2,-6
"
152",6,-1
"
21",-31,-3
"
-42",26,17
"
-37",13,-16
"
-167",-2,-8
"
-245",-12,-17
"
-252",25,-1
"
-25",12,27
"
125",2,22
"
154",-3,10
"
189",11,-8
"
183",17,-15
"
105",24,-6
"
68",-22,-6
"
-32",44,6
"
-91",-18,-4
"
-168",0,-1
"
-250",-8,-15
"
-171",-2,6
